chunks,type
Reporting services Microsoft Power BI,hard_skill
Agile Scrum Kanban Lean,hard_skill
new data engineering technologies,not_skill
the above mentioned areas,not_skill
ML pipeline related technical issues,hard_skill
AI infrastructure clusters,hard_skill
presentation,not_skill
engineering rigor,not_skill
LLC OMD,not_skill
10 people,not_skill
large complex data sets,not_skill
Strong communication skills,soft_skill
a vast network,not_skill
the art technology,not_skill
to 3 days,not_skill
Strong analytical critical thinking problem,soft_skill
the software development process,not_skill
the SQL Server Integration Services Hands,hard_skill
fixes,not_skill
Organizational skills,soft_skill
Competitive salary package share options,not_skill
the centre,not_skill
the publishing revolution,not_skill
our Brain Regain initiative extra relocation benefits,not_skill
Technical Expert,not_skill
Required Skills Education Knowledge and Experience A university degree,hard_skill
Linux OS Integration ETL,hard_skill
team oriented projects,not_skill
structure data,not_skill
your home Life efood,not_skill
ICT Experience,not_skill
TOEFL iBT,not_skill
tools techniques,not_skill
systems Documenting,not_skill
data asset security lifecycle retention architecture,not_skill
client and EPAM teams,not_skill
the results,not_skill
Computer Science,not_skill
the company s business clients,not_skill
TensorRT Experience,hard_skill
a plus Exceptional analytical and critical thinking skills,soft_skill
Marketing department,not_skill
big data business intelligence,not_skill
our promises,not_skill
big data processing stacks hadoop spark presto Experience,hard_skill
styles,not_skill
SQL and AWS big data technologies,hard_skill
the benefits,not_skill
target identification,not_skill
Computer Science Information Technology Work experience,not_skill
the table Experience,not_skill
the Secure Software Development Life Cycle Broad technical background,not_skill
new features,not_skill
Curiosity,soft_skill
very good knowledge,not_skill
global clients,not_skill
Managerial experience Project manager Program Manager Product Owner Account Manager,not_skill
client engagements,not_skill
Excellent use,not_skill
a Python Big Data Software Engineer,hard_skill
operational efficiency,not_skill
Your work routine,not_skill
Data mining and Data modelling techniques,hard_skill
business logic failures,not_skill
low level optimisations,not_skill
innovative therapies,not_skill
CFDs,not_skill
an asset Visualization tools,hard_skill
computer science business informatics natural science mathematics,hard_skill
Cloud Database AWS Azure,hard_skill
big data platforms,hard_skill
information information,not_skill
Hadoop Spark YARN,hard_skill
a 6 month full time internship program,not_skill
a Software company,not_skill
new innovation,not_skill
key capabilities,not_skill
resilience,not_skill
his experiences,not_skill
Objectives,not_skill
profits,not_skill
diving,not_skill
our company,not_skill
data based solutions,not_skill
telephone Unilever,not_skill
Computer Science Information Security Mathematics,hard_skill
challenging tasks,not_skill
Datawarehouse Database design implementation migration,hard_skill
online delivery,not_skill
behalf,not_skill
orientations,not_skill
bonding events,not_skill
the high quality,not_skill
a strong sense,not_skill
data analysis skills,hard_skill
the driving force,not_skill
Tableau visualization software Experience,hard_skill
Us Causaly,not_skill
position Typical Responsibilities Investigate design,not_skill
Our services,not_skill
our clinical data scientists,not_skill
the big data infrastructure Work,not_skill
other programming languages,not_skill
appropriate advanced data analytics approaches,not_skill
information contact Deloitte Greece Primary LocationThessaloniki OrganizationGR Strategy Analytics,not_skill
the work package delivery,not_skill
ML pipelines research,hard_skill
Agia Paraskevi Prefer,not_skill
OLTP Online Transactional Processing databases,hard_skill
future initiatives,not_skill
DEUS Competitive compensation packages,not_skill
billions,not_skill
verbal written Career motivation,not_skill
Tailored training program,not_skill
sponsorship,not_skill
software development Database modeling,hard_skill
an Agile team,not_skill
publications patents genomics,not_skill
business logic,not_skill
our AWS,hard_skill
a foundation,not_skill
Certainly not just another job,not_skill
public cloud providers,not_skill
military status,not_skill
ad hoc analytics,not_skill
a bold strategic vision,not_skill
data tools,not_skill
much more responsibilities,not_skill
private and public cloud providers,not_skill
Displays,not_skill
highly relevant personalization predictions,not_skill
value metrics,not_skill
a rapidly growing team,not_skill
the mathematical models,not_skill
structures,not_skill
the Content team,not_skill
a disability,not_skill
Machine Learning Excellent Python,hard_skill
software applications,not_skill
all these benefits,not_skill
Monitor server performance,not_skill
Netflix Annual,not_skill
other data science platforms,not_skill
dream,not_skill
the ML Engineering Lead,not_skill
security audits,not_skill
an international IT consulting company,not_skill
Qualifications Eligible Candidates,not_skill
Agile working CVs,not_skill
system related issues,not_skill
tens of millions rows,not_skill
great development prospects,not_skill
team ceremonies,not_skill
invaluable Advanced Analytics experience,hard_skill
1 to 3 years,not_skill
Anywhere policy,not_skill
Looker Experience,not_skill
basic code,not_skill
sustainability,not_skill
academic experience,not_skill
our Snowflake data warehouse building,not_skill
continuous learning willingness,soft_skill
a strong data culture,not_skill
relevant experience Experience knowledge,not_skill
lifelong relationships,not_skill
Proficient,not_skill
The following,not_skill
something,not_skill
advanced ETL processes,not_skill
Required,not_skill
Semantic technologies,not_skill
an analytical field Proficient knowledge,not_skill
Mathematics Statistics Finance Computer Science,hard_skill
autmated infrastructures AWS,hard_skill
any criminal record,not_skill
a diverse set,not_skill
other version control tools,hard_skill
other Microsoft languages,not_skill
career development opportunities,not_skill
the data platform,not_skill
Data Science projects,not_skill
practical training,not_skill
client business challenges,not_skill
A love,not_skill
a growing company,not_skill
the customer Team player,not_skill
one hood,not_skill
an accredited US or EU university High proficiency,not_skill
team setups,not_skill
the current needs,not_skill
consolidation,not_skill
OOP Experience,hard_skill
leading Data Warehousing Data Lakes,not_skill
#AboutDeloitte Our services Deloitte,not_skill
default,not_skill
Pfizer s OWNIT Culture values,not_skill
tomorrow,not_skill
committees,not_skill
their business,not_skill
More than 295 000 people,not_skill
BrandBastion s clients,not_skill
technical project management,not_skill
Machine Learning Support,not_skill
industrialized asset products value proposition catalog,not_skill
WFH office,not_skill
technical discussions,not_skill
brand,not_skill
analytics engineering related area Data Science Computer Engineering Computer Science Information Systems Engineering,not_skill
the AI R D team,not_skill
your email,not_skill
a total installed capacity,not_skill
an analytical focus,not_skill
the constant investments,not_skill
good cross domain communication,not_skill
virtual communication,not_skill
OUR REQUIREMENTS,not_skill
Our project,not_skill
Java R,hard_skill
your own personal purpose,not_skill
data delivery curation,not_skill
a nightmare negative affect dream detector ML algorithm,not_skill
Qualifications,not_skill
company s yearly target achievement,not_skill
Carry Iocopy,not_skill
a leader,not_skill
the table,not_skill
junk email inbox,not_skill
MSc,hard_skill
even more business insights,not_skill
Pioneering Pushes self,not_skill
their performance,not_skill
Machine Learning pipelines Experience,hard_skill
a targeted manner,not_skill
none,not_skill
Microsoft Business Intelligence solutions SQL Server SSIS SSAS Azure Data Factory Power BI Experience,hard_skill
Computer Science Mathematics Engineering,hard_skill
Microsoft SQL Server T SQL Strong knowledge,hard_skill
all departments,not_skill
MLOPs ML pipeline COMPANY NAME,hard_skill
an accredited institution Minimum,not_skill
git Ability,hard_skill
Curious technical analytical mindset,soft_skill
a dynamic and fast growing company,not_skill
teammates,not_skill
Anywhere EPAM,not_skill
team communication task,not_skill
Artificial Intelligence algorithms,not_skill
Skechers DSW Petco RiteAid,not_skill
he,not_skill
professional skills,not_skill
solid solutions,not_skill
business alignment,not_skill
sleep physiology,not_skill
Free Sick Leave Days Competitive salary package,not_skill
DevOps and Engineering teams,not_skill
an emphasis,not_skill
Flexible working hours,not_skill
any further info,not_skill
assists,not_skill
Baby Support plan,not_skill
accurate and immediately useful information,not_skill
#YourOpportunity Deloitte,not_skill
ETL pipelines,hard_skill
a European team,not_skill
high calibre candidates,not_skill
other roles,not_skill
a wide range,not_skill
all modelling phases,not_skill
challenging business,not_skill
design configuration testing training migration post,not_skill
Talend Open Studio database modeling implementation,not_skill
more than 83bio CHF sales,not_skill
our business clients,not_skill
SQS SNS Apache Kafka,hard_skill
running launches,not_skill
scanned copies,not_skill
PowerBI Tableau Qlik Reporting Services,hard_skill
the Artificial Intelligence Machine Learning Advanced Analytics and Data COE,not_skill
a leading airline group,not_skill
the vast amounts,not_skill
the HKT group,not_skill
business teams,not_skill
business analytics solutions,not_skill
up to 5 days,not_skill
strict confidence,not_skill
the latest cloud technologies,not_skill
the company COMPANY NAME,not_skill
CS Statistics Mathematics Mathematical Economics Financial Engineering Physics Python,hard_skill
Location Athens I GR Business Unit PCCW,not_skill
our hybrid working model,not_skill
the software aspects,not_skill
your personal potential,not_skill
our future,not_skill
training material,not_skill
a structure,not_skill
a powerful range,not_skill
many opportunities,not_skill
prototype code,not_skill
the following ML NLP tools,hard_skill
Kubeflow Optional skills,hard_skill
our margins,not_skill
advanced statistical and machine learning techniques,not_skill
talent,not_skill
deployment,not_skill
credit,not_skill
their growth mindset,not_skill
hypothesis testing,not_skill
activation,not_skill
Their Values,not_skill
data model,not_skill
race national or ethnic origin age religion disability sex gender identity,not_skill
application development,not_skill
working or related research experience,not_skill
the projects,not_skill
data engineers data scientists visualization experts,not_skill
Scala,hard_skill
Effectiveness,not_skill
availability Request,not_skill
Product,not_skill
modern data engineering technologies Opportunities,not_skill
technical documentation software architecture documents manuals,not_skill
the protection,not_skill
critical situations,not_skill
either business analysis,not_skill
a brand ambassador and grasp opportunities,not_skill
Their hard work,not_skill
data driven projects,not_skill
edge technologies and software product development methodologies,not_skill
scripting,not_skill
customer experiences revenue generation,not_skill
Computer Science or Machine Learning related fields,not_skill
a management consultancy,not_skill
the product development team,not_skill
data quality,not_skill
yourself,not_skill
the collection preparation enrichment,not_skill
international cross functional teams,not_skill
40 countries,not_skill
Your main duties,not_skill
Proficiency,not_skill
a UK limited liability partnership,not_skill
Computer Science or Information Security Security certifications,hard_skill
Performance Work,not_skill
ICT project management Experience,not_skill
mandatory Alteryx Tableau Databricks SAP BI,hard_skill
simple scripts,not_skill
other inputs,not_skill
data reliability efficiency,not_skill
varying technical backgrounds seniority Nice,not_skill
an agile way,not_skill
unique insight,not_skill
class results,not_skill
a dedicated business unit,not_skill
strong database skills,hard_skill
Database and Big Data Technologies Good command,hard_skill
the performance,not_skill
applicable law,not_skill
hospitality,not_skill
our CEO,not_skill
computer languages,not_skill
Medical Doctor MD,not_skill
scripting languages,hard_skill
over 35 countries,not_skill
other data,not_skill
law,not_skill
business requests,not_skill
Completed military service male applicants Fluency,not_skill
analytic question definition,not_skill
Pythonic code,hard_skill
an analytics platform,not_skill
prior programming experience,not_skill
Agoda s unique accommodations portfolio and tech solutions,not_skill
our,not_skill
equal opportunities treatment,not_skill
Enable production models,not_skill
the globe,not_skill
the Cloud Data Analyst,not_skill
Positive attitude,not_skill
Python git,hard_skill
reporting models,not_skill
Project Planning,not_skill
once open Melco,not_skill
informed decision,not_skill
a regular basis,not_skill
Being team,not_skill
the ongoing digital transformation,not_skill
careers,not_skill
effectiveness,not_skill
Artificial Intelligence,not_skill
the other departments,not_skill
research and development Work,not_skill
revenue Responsibilities,not_skill
our staff,not_skill
existing setups,not_skill
development cycle Knowledge,not_skill
a robust scalable deliverable MAIN DUTIES,not_skill
a highly collaborative team,not_skill
the ground knowledge,not_skill
Deutsche Telekom Cloud Services EPE,not_skill
downtown Athens Competitive Salary,not_skill
a global fintech,not_skill
the box way,not_skill
Databricks Spark Machine Learning Good understanding,hard_skill
engineering excellence,not_skill
edge life,not_skill
CI CD version control infrastructure,hard_skill
Responsibilities Designing,not_skill
academic publications clinical trials regulatory documents patents,not_skill
fast career growth,not_skill
the criteria,not_skill
Internal hackathons,not_skill
R SQL familiarity,hard_skill
system administrators,not_skill
an employee assistance plan access,not_skill
sophisticated machine learning artificial intelligence technologies,not_skill
their thinking experience,not_skill
Liaises,not_skill
functional teams,not_skill
medical notes physician progress,not_skill
control,not_skill
Its Greek subsidiary,not_skill
MDM Central Reporting and BI solutions,not_skill
PeopleCert PeopleCert,not_skill
common workflows,not_skill
departments Conduct ad hoc and ongoing business performance analysis,not_skill
advanced data analysis techniques,not_skill
the UK s fastest growing target audience companies,not_skill
a clear and coherent way,not_skill
yours,not_skill
Big data concepts tools,hard_skill
an Equal Employment Opportunity employer,not_skill
complexity,not_skill
Key success metrics,not_skill
multiple source data owners,not_skill
company s online training platform,not_skill
scalable big data,hard_skill
Travel,not_skill
Pluralsight,not_skill
customer experiences,not_skill
KPIs,not_skill
free online yoga classes,not_skill
social interactions,not_skill
your needs,not_skill
outages,not_skill
data accuracy completeness,not_skill
a certified cloud architect,not_skill
Computer Science Information Systems,not_skill
expectations,not_skill
performance based bonus Generous training budget,not_skill
internal data systems,not_skill
other stakeholders,not_skill
Stable workload Relocation,not_skill
clean maintainable efficient and reusable code,not_skill
high profile international projects,not_skill
beliefs,not_skill
Computer Science or Machine Learning,hard_skill
Conduct basic data profiling,not_skill
operational information,not_skill
#ChooseDeloitteif,not_skill
B2,not_skill
raw data,not_skill
the platform,not_skill
similar role,not_skill
challenging careers,not_skill
The Company s unique blend,not_skill
first approach,not_skill
Azure public clouds,not_skill
actionable intelligence,not_skill
training machine learning models,not_skill
PBX CTI technology,not_skill
MSc PhD,hard_skill
Good,not_skill
Great work environment Attractive salary benefits,not_skill
scalable model,not_skill
various tasks,not_skill
different functional teams,not_skill
Data analysis,hard_skill
executive and project teams,not_skill
math probability statistics,hard_skill
the risk exposure,not_skill
greater scalability,not_skill
AI algorithms Experience,hard_skill
innovation data products delivery,not_skill
other key business performance metrics,not_skill
SAP R3,not_skill
vendors resources partner,not_skill
Workforce Management,not_skill
PySpark SQL pipelines,hard_skill
the candidate,not_skill
Strong analytical creative problem,hard_skill
No Job Posting End Date,not_skill
highly customized statistical models,not_skill
the GWI family,not_skill
compliance,not_skill
a similar role Proven experience,not_skill
the complex,not_skill
ML algorithms,hard_skill
your lifestyle,not_skill
Lectures,not_skill
excellent problem,not_skill
their best self,not_skill
feature generation infrastructure Requirements,not_skill
program knowledge sharing,not_skill
high impact work ownership self awareness,not_skill
Your main tasks,not_skill
individual shopper insights product intelligence,not_skill
a business analysis data analysis,not_skill
subject matter experts,not_skill
ourselves,not_skill
Business Units,not_skill
Pfizer s analytic capabilities,not_skill
relationship building skills,not_skill
ELT ETL procedures,hard_skill
a product oriented approach,not_skill
the belief,not_skill
the potential,not_skill
meetups,not_skill
filtering firewall rules,not_skill
the passion,not_skill
the following Data modeling and Management integration,not_skill
innovative projects,not_skill
various related tools,not_skill
a pioneer,not_skill
Java Python Scala R C++ C# Experience,hard_skill
the following Clinical trials design and clinical research procedures,not_skill
a Machine Learning Engineer,not_skill
common data science toolkits,not_skill
regional and global Nestlé s Analytics teams,not_skill
our organization,not_skill
a powerful strategic merger,not_skill
EEA countries,not_skill
a data analysis language,not_skill
SQL tuning skills,hard_skill
the BD A team,not_skill
KV Document Columnar Experience,not_skill
The Performance Marketing Team,not_skill
THIS ROLE High proficiency,not_skill
the hospitality industry,not_skill
AWS Microsoft Azure,hard_skill
the week,not_skill
Kubeflow Argo Experience,hard_skill
critical business decisions,not_skill
a data engineer,not_skill
platform LI#PFE,not_skill
new ideas,not_skill
Data Science Computer Engineering Computer Science,hard_skill
Proven abilities,not_skill
our consulting hub,not_skill
corporate environment,not_skill
both Greek and English languages,hard_skill
technical concepts,not_skill
the largest user bases,not_skill
International Gaming Awards,not_skill
client success,not_skill
Cyprus Job Overview Date,not_skill
new useful and actionable insights,not_skill
the key assets,not_skill
Greek and English additional languages,hard_skill
the latest mobility voice and data solutions,not_skill
reusable assets,not_skill
the coolest technologies,not_skill
Our role,not_skill
current architecture,not_skill
a successful software platform,not_skill
good understanding,not_skill
our actions,not_skill
Satori,not_skill
Apache Spark Hortonworks Cloudera Kafka AWS,hard_skill
Abilities,not_skill
other periodical management reports,not_skill
Enterprise Conversational AI Platforms,not_skill
This role,not_skill
related science field,not_skill
this person s role,not_skill
meaningful insights,not_skill
Economics BA Math Statistics Masters,hard_skill
The position,not_skill
Minimum 5 years,not_skill
are followed Identify location time patterns,not_skill
live dashboards,not_skill
an R D Engineer,not_skill
workplaces,not_skill
an email,not_skill
a row,not_skill
Linux,hard_skill
verbal communication,soft_skill
APIs TensorFlow scikit,hard_skill
key technologies,not_skill
analyses,not_skill
text ads,not_skill
the maximum effort,not_skill
a global organization,not_skill
code reviews,not_skill
A work place,not_skill
actionable business strategies,not_skill
a concise and impactful way,not_skill
room,not_skill
a GPU,not_skill
the most fundamental data driven challenges,not_skill
a Bachelor s Diploma,hard_skill
the shipping business,not_skill
innovation growth,not_skill
entry,not_skill
technology development projects,not_skill
Integrates,not_skill
advanced analytical and statistical methods,hard_skill
personalisation programs,not_skill
every GWIer,not_skill
business solutions,not_skill
Scrum Mode,not_skill
new market offerings,not_skill
ad hoc requests,not_skill
the Information Security Policies and Standards Best Practices,not_skill
proper operational controls,not_skill
Data Architecture,not_skill
the team software repository,not_skill
your technical capabilities,not_skill
large scale production databases,not_skill
design Languages English,hard_skill
Pfizer Business application platforms,not_skill
GCP Good knowledge,not_skill
the technological vision,not_skill
Diversity Charter Greece,not_skill
a focus,not_skill
our delivery units,not_skill
Cloud Data Analyst,not_skill
The role,not_skill
their long term plans,not_skill
a motivating and inclusive workplace,not_skill
database management,hard_skill
any other organization location,not_skill
data visualization reporting and analytics software,not_skill
Information Security and Privacy Policies Procedures,not_skill
the Data Engineer team,not_skill
A great and fast laptop,not_skill
BI data models,hard_skill
related majors,not_skill
better health outcomes,not_skill
your voice,not_skill
An open and collaborative working environment,not_skill
the coordination data governance data quality and master data management activities,not_skill
statistical techniques,not_skill
PERSONAL COMPETENCIES,not_skill
delta lake Experience,not_skill
s,not_skill
Operations,not_skill
A safe and healthy workplace,not_skill
SQL Experience,hard_skill
a leading research based biopharmaceutical company,not_skill
the ground,not_skill
relevant stakeholders,not_skill
data scientist Strong analytical skills evidence,hard_skill
success criteria,not_skill
infrastructure requirements,not_skill
statistics,hard_skill
CI CD application security practices,hard_skill
talented Data Scientist,not_skill
Excellent communication presentation,soft_skill
talented people,not_skill
data quality issues Train mentor,not_skill
high impact opportunities,not_skill
the organized Retail,not_skill
their customers,not_skill
improvements,not_skill
SQL Server,hard_skill
one s own professional development stays,not_skill
Docker Kubernetes Helm,hard_skill
data load aggregation,not_skill
their business needs,not_skill
the transformation,not_skill
business advisory,not_skill
a smooth post,not_skill
Azure SQL Database,hard_skill
the following criteria,not_skill
tomorrow market s foreground,not_skill
rigorous statistical methods,not_skill
Minimum,not_skill
multiple stakeholders,not_skill
a development project,not_skill
leading Reporting BI solutions,hard_skill
Enterprise Data Science and Advanced Analytics,hard_skill
Azure Cloud DWH BI solutions,hard_skill
the applications,not_skill
our international dynamic and agile team,not_skill
Role responsibilities,not_skill
lifecycle,not_skill
Job safety,not_skill
their real world applications,not_skill
data processing analysis,not_skill
your preferred language,not_skill
leading multinational companies,not_skill
a compensation package,not_skill
London Cyprus Estonia South Africa,not_skill
your day,not_skill
continuous improvement Delivery,not_skill
industrialized data science visualization capabilities,hard_skill
e g,not_skill
a happier healthier future,not_skill
our offering,not_skill
MS Azure Spring Batch Java MongoDB CosmosDB Blob Storage Databricks Develop physical data models,hard_skill
control implementation,not_skill
AI open source,not_skill
both frontend,not_skill
WhatsApp notifications,not_skill
your recruitment journey,not_skill
Our analytics professionals,not_skill
a unique network,not_skill
a preliminary diagnosis,not_skill
relocation,not_skill
experts teams,not_skill
a Junior Machine Learning Engineer,not_skill
distinction,not_skill
the Product Development Business Projects fields,not_skill
data backed decisions,not_skill
your performance Participation,not_skill
face value,not_skill
k8s Experience,not_skill
Your responsibilities Design,not_skill
client specific social media data,not_skill
enterprise insights,not_skill
passionate multi talented Data Engineers,soft_skill
the enterprise,not_skill
their teams,not_skill
one or more industry,not_skill
development practices,not_skill
SQL Good,hard_skill
SE Europe The Group,not_skill
privacy,not_skill
our large scale big data clusters,not_skill
real time data pipelines,not_skill
rich and diverse data,not_skill
a Data Analyst Job description,not_skill
parental leave,not_skill
our Customer Operations,not_skill
available sources,not_skill
Strong ability,not_skill
Retail industry,not_skill
OneTick,not_skill
4G 5G architectural concepts,not_skill
SSAS,not_skill
Equal Employment Opportunity,not_skill
The safety,not_skill
lives,not_skill
Atypon s online publishing platform hosts,not_skill
scripts,not_skill
a multinational working environment,not_skill
our way,not_skill
3+ year s,not_skill
a rapidly growing Big Data reality Responsibilities,not_skill
government bodies,not_skill
Our company,not_skill
Understanding,not_skill
clean code,not_skill
Start Date,not_skill
various others,not_skill
relevant experience analyst,not_skill
the complex issues,not_skill
Tech Industrial Sector,not_skill
analytics services,not_skill
various kinds,not_skill
good communications,not_skill
Development,not_skill
our global data,not_skill
Private medical insurance Benefits,not_skill
The teams,not_skill
approximately 1700 employees,not_skill
a conversational style interview,not_skill
the latest tools techniques,not_skill
Pan Net Hungary,not_skill
legal requirements,not_skill
a passionate Data Analyst,not_skill
didn t,not_skill
an international environment,not_skill
different industries,not_skill
our solutions,not_skill
various business problems,not_skill
developed Analytical Assets,not_skill
management Assists,not_skill
streaming,not_skill
digital culture,not_skill
both new and more established coders,not_skill
Our journey,not_skill
the high growth rate,not_skill
the skills,not_skill
Greek and English communication,hard_skill
migrated data Collaborate,not_skill
Our employees,not_skill
Our Benefits,not_skill
an equal opportunity workplace,not_skill
data quality Perform data analysis,not_skill
Azure data services,hard_skill
the behaviour,not_skill
customers Hands,not_skill
the Stoiximan brand,not_skill
a global scale,not_skill
the Big Data Platform team,not_skill
the entire EMEIA region,not_skill
strategic Supply Chain Analytics,not_skill
leverage big data and cloud infrastructure,not_skill
Engineering,not_skill
OLAP database design and ETL pipelines Experience,not_skill
Mathematics Statistics Finance,hard_skill
a multitasker,not_skill
the End2End data infrastructure,not_skill
the global Healthcare market Responsibilities,not_skill
priorities,not_skill
Hellas,not_skill
defense,not_skill
our shared insight,not_skill
businesses,not_skill
SQL DW Data Lake Analysis Services,hard_skill
the generated value,not_skill
certification,not_skill
your analytical statistical and programming skills,hard_skill
auditing,not_skill
scalable pipelines,not_skill
different projects,not_skill
a Data pipeline,hard_skill
GitHub,hard_skill
the art tools,not_skill
their CV,not_skill
data analysis Solid quantitative and analytical skills,hard_skill
our 2021 achievements,not_skill
inspiring careers,not_skill
training colleagues,not_skill
Positivity Negativity,not_skill
data science and analytics service delivery ecosystem Partner,not_skill
the global teams,not_skill
Technology Innovation Anchoring skill developments,not_skill
the effectiveness,not_skill
a massive advantage,not_skill
the company data,not_skill
data privacy,not_skill
a confirmation email,not_skill
close liaison,not_skill
access data,not_skill
Deep understanding,not_skill
written communication,not_skill
customer service,not_skill
the global business journey,not_skill
a agile methodology,not_skill
Google SAS IBM Tableau,hard_skill
Qualifications Creative problem,not_skill
predictive analytics,not_skill
other relevant quantitative field,not_skill
many high profile data analysis projects,not_skill
this team Programming experience,not_skill
Big data development technologies Spark Basic Experience,hard_skill
preventive measures,not_skill
a seemingly inscrutable problem,not_skill
Previous hands,not_skill
R SAS SPSS Data analysis,hard_skill
a major accredited institution,not_skill
the user,not_skill
mathematics statistics,hard_skill
workloads,not_skill
Vrbani,not_skill
ingestion transformation aggregation,not_skill
new product versions,not_skill
the most important asset,not_skill
remote,not_skill
a global collaborative team environment,not_skill
A place,not_skill
revenue assurance risks,not_skill
the business,not_skill
support microservices,not_skill
appropriate ETL orchestration,not_skill
regular updates,not_skill
At least 4 years experience,not_skill
SQL Java Scala C,hard_skill
NTT DATA Corporation,not_skill
supply chain,not_skill
WFH,not_skill
query efficiency,not_skill
Hybrid,not_skill
leadership supervision,not_skill
Limassol,not_skill
the consulting service provider,not_skill
Our client roster,not_skill
enterprise data Design,not_skill
personal learning,not_skill
career progression framework,not_skill
Romania Additional information,not_skill
written and verbal communication,not_skill
Flask,hard_skill
Strong,not_skill
The continuous development,not_skill
just another typical day,not_skill
database theory,not_skill
outstanding results,not_skill
CI CD integration GitHub GitHub Actions,hard_skill
production ML models,not_skill
relevant work experience,not_skill
ongoing reports,not_skill
physical form,not_skill
source platform,not_skill
top tier management consulting investment banking private equity or strategy business operations,not_skill
BPS,not_skill
Key Skills A strong desire,soft_skill
Competitive compensation packages,not_skill
behavioral intelligence,not_skill
Alaya Frontiers,not_skill
your data science skills,not_skill
the next steps,not_skill
credit issuance,not_skill
Competitive full time salary,not_skill
final year,not_skill
myData,not_skill
Financially supporting employees,not_skill
analytics deliverables,not_skill
optimization techniques,hard_skill
analytical skills,hard_skill
Qualifications Technical Skills,not_skill
a Cloud Platform Azure,hard_skill
Reporting Data visualization,hard_skill
visualization related area Data Science Computer Engineering Computer Science,hard_skill
At least 1 year hands,not_skill
healthcare systems,not_skill
end process,not_skill
TGNDATA,not_skill
These Countries regions,not_skill
a given codebase,not_skill
deep experience,not_skill
the rest,not_skill
proven working experience,not_skill
Search Experiment,not_skill
vacancy position,not_skill
responsiveness and overall performance Test and debug programs,not_skill
the project teams,not_skill
technology,not_skill
data delivery ETL extract transform,hard_skill
MS,not_skill
proprietary technologies,not_skill
an Analytics Engineering Manager,not_skill
Pfizer values,not_skill
caret etc Coding and software engineering,not_skill
your detailed CV,not_skill
this Senior Data Scientist role,not_skill
the global market research industry,not_skill
a Solution Architect Developers,not_skill
real collaboration,not_skill
Big Data Solutions,not_skill
long term value,not_skill
our patients,not_skill
Good English skills,hard_skill
Greece Deloitte,not_skill
high calibre,not_skill
valuable data sources pre process,not_skill
greater automation scalability,not_skill
technical documentation Install,not_skill
further analysis,not_skill
a PhD,hard_skill
our domain,not_skill
your job application,not_skill
Mathematics Economics Computer Science Information Management,hard_skill
the Governance Risk and Compliance GRC team,not_skill
the Engineering team,not_skill
our Business Analytics Department Activities,not_skill
veteran status,not_skill
Those tasks,not_skill
appropriate KPIs,not_skill
Review technical documentation,not_skill
the dynamics,not_skill
Business and Data Governance PeopleCert,not_skill
the next phase,not_skill
key competencies,not_skill
Fine tune performance,not_skill
eCommerce experiences Sitecore Discover,not_skill
data initiatives,not_skill
Signal,not_skill
the code,not_skill
The Revenue Data scientist,not_skill
more details,not_skill
successful delivery Experience,not_skill
Computer Science Engineering or Software Engineering Working experience,hard_skill
data transformation data structures metadata dependency,not_skill
the globe Sitecore Discover Sitecore Discover,not_skill
five different countries,not_skill
locations,not_skill
Salesforce MixPanel SAP,not_skill
Security,not_skill
the given information,not_skill
Agile Methodologies,not_skill
AWS Azure Google Cloud,hard_skill
effective presentations,not_skill
recurrent deliverables,not_skill
sources,not_skill
statistical software,not_skill
an automated easy,not_skill
home express,not_skill
learning models,not_skill
our processes,not_skill
various stakeholders,not_skill
B1,not_skill
YOU Competitive salary,not_skill
our Data Scientist position Business Context And Main Purpose,not_skill
reusable clean code Understanding,not_skill
a Master s Degree,hard_skill
SQL HIVE Hadoop Kafka Spark Spark Streaming Cloud Azure Scala or Python Responsibilities Team,hard_skill
Qlik Tableau PowerBI Experience,hard_skill
statistical and machine learning algorithms,hard_skill
client side installations,not_skill
data fabrics,not_skill
a global fast growing company Attractive remuneration,not_skill
adoption metrics,not_skill
the workplace,not_skill
tech data relevant field Computer Science Math Statistics Data Science Technology Basic knowledge,not_skill
a fully integrated B2B2X financial technology platform,not_skill
an advantage Greater experience,not_skill
a dynamic global team,not_skill
business problem,not_skill
batch processing,not_skill
the art big data processing systems design,not_skill
a plus Azure AI Fundamentals Azure Data Scientist Experience,hard_skill
data validation Tune SQL,hard_skill
a long time,not_skill
Free coffee and beverages Educational expenses,not_skill
global mobility opportunities,not_skill
Addressing,not_skill
managed pipelines,not_skill
synthesis,not_skill
acquisition,not_skill
digital frontiers,not_skill
Data Science components design and configuration data model,not_skill
professional growth,not_skill
Join PMI,not_skill
a Business Intelligence Analytics,not_skill
lots,not_skill
DevOps Knowledge,hard_skill
a highly motivated Data Engineer,not_skill
a competent institute,not_skill
a Free Gym membership,not_skill
software development version control Git Experience,hard_skill
growth,not_skill
publishers,not_skill
data scientists machine learning engineer and data engineers,not_skill
degree,not_skill
your application Project technologies,not_skill
Work experience,not_skill
internal engineered components API registry ML library workflow management enterprise connectors Performance and resource optimization,not_skill
the company s collective health insurance,not_skill
open environment,not_skill
an individual,not_skill
data extraction ingestion,not_skill
your system,not_skill
impacts,not_skill
drive optimizations,not_skill
home Flexible schedule,not_skill
clients people,not_skill
ambitious team players,soft_skill
solutions vendor,not_skill
treating,not_skill
a given problem,not_skill
design,not_skill
Commercial,not_skill
